Ts,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Event
19,0.0,5.36701945750978,2.4254762457109544,-0.6137848202801145,-1.1814691357463896,0.4241604494585617,-0.0039500992027561,1.5964535901312558,-0.7226737065506572,Load Bus 5-P-H
20,0.0,5.328464168295854,2.3722029948581778,-0.6466034444234571,-1.2453116964003512,0.3683973499626136,-0.0541668141161094,1.5540763252331484,-0.7613577137396217,Load Bus 5-P-H
21,0.0,5.365988349030595,2.424052035979781,-0.6146622746971717,-1.1831754878129266,0.4226698386608885,-0.0052925043077618,1.5953205568437108,-0.7237079187912525,Load Bus 5-P-H
22,0.0,5.294719613737017,2.325544568831602,-0.6753419979017201,-1.3012535588588787,0.3195479263648483,-0.0981539965676018,1.5169683925218154,-0.7952363750029476,Load Bus 5-P-H
23,0.0,5.232327381992364,2.239194892592667,-0.7285152336514817,-1.404849598909259,0.2291178514121124,-0.1795743734423663,1.448312044557,-0.8579297691677545,Load Bus 5-P-H
24,0.0,5.3086751786266495,2.3448445338766284,-0.6634550498002337,-1.2781105491616114,0.3397553546548004,-0.0799583194076153,1.5323170110775528,-0.7812229110014671,Load Bus 5-P-H
25,0.0,5.320791277583544,2.3615963876634085,-0.6531368395818465,-1.2580264788753326,0.357293522540055,-0.064165707757315,1.5456401684687848,-0.7690593338039959,Load Bus 5-P-H
26,0.0,5.313982339335675,2.3521827541392897,-0.6589351893237446,-1.2693122439107345,0.3474381762161898,-0.0730402135374573,1.538153165942854,-0.7758946349360721,Load Bus 5-P-H
27,0.0,5.301927493651307,2.3355134150704004,-0.6692022353464638,-1.2892991666544282,0.3299857034049089,-0.0887554231303434,1.5248961344334937,-0.7879981609080847,Load Bus 5-P-H
28,0.0,5.252464411844461,2.267075607137507,-0.7113483669404628,-1.3713909870597611,0.2583196949954161,-0.1532831994426176,1.4704772814749614,-0.8376879538194993,Load Bus 5-P-H
29,0.0,5.326679340018443,2.369735879976035,-0.6481231450321491,-1.2482690622960602,0.3658146252169019,-0.0564925489415791,1.5521140287649329,-0.7631491324520965,Load Bus 5-P-H
30,0.0,5.335944153358591,2.3825414360625192,-0.6402349978351224,-1.2329196116321537,0.3792199613272852,-0.0444209897064425,1.5622995368917938,-0.7538507185237473,Load Bus 5-P-H
31,0.0,5.246673913555403,2.259059496587764,-0.7162842657391406,-1.381009907030317,0.2499240974711345,-0.1608420943029685,1.4641041963570427,-0.8435078407170631,Load Bus 5-P-H
32,0.0,5.31456443189413,2.3529875689141297,-0.6584394692936952,-1.268347332559174,0.3482807703971637,-0.0722814826798237,1.5387932531066235,-0.7753102566765957,Load Bus 5-P-H
33,0.0,5.342484269703193,2.391579626168555,-0.6346673121544869,-1.222087056018831,0.3886810413953524,-0.0359011002910714,1.5694888060082557,-0.7472877910737327,Load Bus 5-P-H
